"cop","Inf.round","clutch","selection_line","exposed","checking_day","cop_stage_checking","infection","grp","dead","dpi"
"4_003_3C",1,"S3","slow",1,2,"C1",1,"slow",1,6
"4_003_3D",1,"S3","slow",1,2,"C2",0,"uninf",1,6
"4_003_4A",1,"S3","slow",1,2,"C2",1,"slow",0,30
"4_003_4B",1,"S3","slow",1,2,"C2",1,"slow",0,30
"4_003_4C",1,"S3","slow",1,NA,NA,NA,"uninf",0,30
"4_003_4D",1,"S3","slow",1,2,"C2",1,"slow",1,6
"4_003_5A",1,"S3","slow",1,2,"C2",0,"uninf",0,30
"4_003_5B",1,"S3","slow",1,2,"C2",0,"uninf",0,30
"4_003_5C",1,"S3","slow",1,2,"C2",0,"uninf",1,6
"4_003_5D",1,"S3","slow",1,2,"C2",0,"uninf",1,6
"4_003_6A",1,"S3","slow",1,NA,NA,NA,"uninf",0,30
"4_003_6B",1,"S3","slow",1,2,"C2",0,"uninf",1,6
"4_003_6C",1,"S3","slow",1,2,"C2",0,"uninf",1,6
"4_003_6D",1,"S3","slow",1,2,"C1",1,"slow",1,6
"4_004_1A",1,"S12","slow",1,2,"C2",0,"uninf",1,6
"4_004_1B",1,"S12","slow",1,2,"C2",1,"slow",1,6
"4_004_1C",1,"S12","slow",1,2,"C2",1,"slow",0,30
"4_004_1D",1,"S12","slow",1,2,"C2",1,"slow",0,30
"4_004_2A",1,"S12","slow",1,2,"C2",0,"uninf",1,6
"4_004_2B",1,"S12","slow",1,2,"C2",0,"uninf",1,6
"4_004_2C",1,"S12","slow",1,2,"C2",1,"slow",0,30
"4_004_2D",1,"S12","slow",1,NA,NA,NA,"uninf",1,6
"4_004_3A",1,"S12","slow",1,2,"C2",0,"uninf",1,6
"4_004_3B",1,"S12","slow",1,2,"C1",0,"uninf",1,6
"4_004_3C",1,"S12","slow",1,2,"C2",1,"slow",0,30
"4_004_3D",1,"","",0,2,"C2",0,"unexp",0,30
"4_004_4A",1,"S12","slow",1,2,"C2",1,"slow",1,6
"4_004_4B",1,"","",0,2,"C2",0,"unexp",1,6
"4_004_4C",1,"S12","slow",1,2,"C2",0,"uninf",0,30
"4_004_4D",1,"S12","slow",1,2,"C2",1,"slow",0,30
"4_004_5A",1,"S12","slow",1,2,"C2",1,"slow",1,6
"4_004_5B",1,"S12","slow",1,2,"C2",0,"uninf",1,6
"4_004_5C",1,"S12","slow",1,2,"C1",0,"uninf",0,30
"4_004_5D",1,"S12","slow",1,2,"C2",0,"uninf",0,30
"4_004_6A",1,"S12","slow",1,2,"C1",0,"uninf",1,6
"4_004_6B",1,"S12","slow",1,2,"C1",1,"slow",1,6
"4_004_6C",1,"S12","slow",1,2,"C2",1,"slow",0,30
"4_004_6D",1,"S12","slow",1,2,"C2",0,"uninf",0,30
"4_005_1A",1,"F6","fast",1,2,"C2",1,"fast",1,6
"4_005_1B",1,"F6","fast",1,2,"C2",1,"fast",0,30
"4_005_1C",1,"F7","fast",1,NA,NA,NA,"uninf",0,30
"4_005_1D",1,"F5","fast",1,2,"C2",0,"uninf",1,6
"4_005_2A",1,"F6","fast",1,2,"C1",1,"fast",0,30
"4_005_2B",1,"F6","fast",1,2,"C2",0,"uninf",0,30
"4_005_2C",1,"F7","fast",1,2,"C2",0,"uninf",1,8
"4_005_2D",1,"F5","fast",1,2,"C2",0,"uninf",1,6
"4_005_3A",1,"F6","fast",1,2,"C2",1,"fast",0,30
